incident_id,date,description,city,state,location,attack_type,ideology,subideology,group,location_type,israel_zionism_related,predicted_category,terms_detected,source,processed_date
68751,2024-12-27,A professor at the University of Dayton received an email with a link to an antisemitic website.,Dayton,OH,"Dayton, OH",Antisemitic Incident: Harassment,,,,College/University,,Antisemitism,,refined,2025-12-16
68752,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""Deport invaders, keep America American,"" ""Strong families, strong nations,"" ""Better dead than red"" and ""No Zionists in government, we serve one nation.""",Salt Lake City,UT,"Salt Lake City, UT",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68753,2024-12-27,"A Jewish community center received a phone call from an individual who said, ""When are you going to stop the killing, you bombed today. It's your greed. It's your power.""",Washington,DC,"Washington, DC",Antisemitic Incident: Harassment,,,,Jewish Institution / School,1.0,Antisemitism,,refined,2025-12-16
68754,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""One nation, against invasion,"" ""Strong families, strong nations,"" ""No Zionists in government, we serve one nation"" and ""Defend American labor.""",Bolivar,WV,"Bolivar, WV",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68755,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""Defend American labor,"" ""No Zionists in government, we serve one nation,"" ""Strong families, strong nations"" and ""One nation, against invasion.""",Halltown,WV,"Halltown, WV",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68756,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""For the nation, against the state,"" ""Better dead than red"" and ""Strong families, strong nations.""",Cedarburg,WI,"Cedarburg, WI",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68757,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""Revolution is tradition,"" ""We dare to defend our rights,"" and ""No Zionists in government, we serve one nation.""",Grafton,WI,"Grafton, WI",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68758,2024-12-27,"Patriot Front, a white supremacist group, posted stickers that read: ""Strong families, strong nations,"" ""United we stand,"" ""No Zionists in government, we serve one nation"" and ""American spirit, European blood.""",Gillette,WY,"Gillette, WY",Antisemitic Incident: Vandalism,Right Wing (White Supremacist),,Patriot Front (PF),Public Area (Park/Street/Transit/Building),1.0,Antisemitism,,refined,2025-12-16
68787,2024-12-27,An individual vandalized a public menorah display.,New Haven,CT,"New Haven, CT",Antisemitic Incident: Vandalism,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
68804,2024-12-27,An individual vandalized a menorah displayed in front of a synagogue.,Sherman Oaks,CA,"Sherman Oaks, CA",Antisemitic Incident: Vandalism,,,,Jewish Institution / School,,Antisemitism,,refined,2025-12-16
71024,2024-12-27,"A flier was placed on a pole outside of a synagogue that read: ""We decided to defend our people with whatever weapons we had - Yahya Sinwar,"" quoting the former Hamas leader.",Seattle,WA,"Seattle, WA",Antisemitic Incident: Harassment,,,,Jewish Institution / School,1.0,Antisemitism,,refined,2025-12-16
71497,2024-12-27,Swastika graffiti was found on a lamppost in Woodside.,Queens,NY,"Queens, NY",Antisemitic Incident: Vandalism,,,,Public Area (Park/Street/Transit/Building),,Antisemitism,,refined,2025-12-16
