incident_id,date,predicted_category_machine,predicted_category_human,state,year,month,year_month,quarter
64999,2024-01-25,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
69170,2024-01-25,Slogans / Code words,Antisemitism,Florida,2024,1,2024-01,1
69171,2024-01-24,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69172,2024-01-24,People,Antisemitism,Illinois,2024,1,2024-01,1
65548,2024-02-01,Slogans / Code words,Antisemitism,Illinois,2024,2,2024-02,1
65006,2024-01-26,Numbers / Symbols,Antisemitism,Illinois,2024,1,2024-01,1
69173,2024-01-26,Slogans / Code words,Antisemitism,New York,2024,1,2024-01,1
65004,2024-01-26,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69174,2024-01-26,Slogans / Code words,Antisemitism,Ohio,2024,1,2024-01,1
69175,2024-01-26,Slogans / Code words,Antisemitism,Oregon,2024,1,2024-01,1
69176,2024-01-26,Slogans / Code words,Antisemitism,Ohio,2024,1,2024-01,1
69177,2024-01-25,Numbers / Symbols,Antisemitism,New York,2024,1,2024-01,1
69178,2024-01-25,Groups / Movements,Antisemitism,Texas,2024,1,2024-01,1
65000,2024-01-25,Groups / Movements,Antisemitism,New York,2024,1,2024-01,1
69179,2024-01-25,Slogans / Code words,Antisemitism,Massachusetts,2024,1,2024-01,1
69180,2024-01-27,Slogans / Code words,Antisemitism,South Carolina,2024,1,2024-01,1
69181,2024-01-27,Groups / Movements,Antisemitism,New York,2024,1,2024-01,1
69182,2024-01-27,Slogans / Code words,Antisemitism,Texas,2024,1,2024-01,1
69183,2024-01-27,Slogans / Code words,Antisemitism,Maryland,2024,1,2024-01,1
69184,2024-01-27,Numbers / Symbols,Antisemitism,California,2024,1,2024-01,1
65002,2024-01-26,Slogans / Code words,Antisemitism,Oregon,2024,1,2024-01,1
69185,2024-01-26,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69186,2024-01-26,Groups / Movements,Antisemitism,Wisconsin,2024,1,2024-01,1
65005,2024-01-26,Slogans / Code words,Antisemitism,Washington D.C.,2024,1,2024-01,1
69187,2024-01-26,Slogans / Code words,Antisemitism,Michigan,2024,1,2024-01,1
64991,2024-01-23,Numbers / Symbols,Antisemitism,Georgia,2024,1,2024-01,1
69188,2024-01-22,Slogans / Code words,Antisemitism,Hawaii,2024,1,2024-01,1
69189,2024-01-22,Groups / Movements,Antisemitism,Wisconsin,2024,1,2024-01,1
69190,2024-01-21,Slogans / Code words,Antisemitism,Nebraska,2024,1,2024-01,1
69191,2024-01-21,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69192,2024-01-20,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
69193,2024-01-20,Slogans / Code words,Antisemitism,Virginia,2024,1,2024-01,1
69194,2024-01-16,Slogans / Code words,Antisemitism,Arizona,2024,1,2024-01,1
69195,2024-01-16,Numbers / Symbols,Antisemitism,Florida,2024,1,2024-01,1
64128,2024-02-02,Numbers / Symbols,Antisemitism,California,2024,2,2024-02,1
63793,2024-01-16,People,Antisemitism,Colorado,2024,1,2024-01,1
63895,2024-01-31,Numbers / Symbols,Antisemitism,Pennsylvania,2024,1,2024-01,1
63615,2024-01-30,Publications,Antisemitism,Indiana,2024,1,2024-01,1
63702,2024-01-13,People,Antisemitism,Texas,2024,1,2024-01,1
64091,2024-02-01,"Slogans / Code words, Numbers / Symbols",Antisemitism,Wisconsin,2024,2,2024-02,1
63828,2024-01-21,Publications,Antisemitism,California,2024,1,2024-01,1
64044,2024-02-02,Numbers / Symbols,Antisemitism,Illinois,2024,2,2024-02,1
64037,2024-02-02,Slogans / Code words,Antisemitism,California,2024,2,2024-02,1
63561,2024-01-30,Numbers / Symbols,Antisemitism,California,2024,1,2024-01,1
63937,2024-02-03,Groups / Movements,Antisemitism,California,2024,2,2024-02,1
64073,2024-02-01,Numbers / Symbols,Antisemitism,Illinois,2024,2,2024-02,1
63960,2024-02-02,"Slogans / Code words, Key Concepts / Definitions",Antisemitism,Wisconsin,2024,2,2024-02,1
63687,2024-01-24,Numbers / Symbols,Antisemitism,Massachusetts,2024,1,2024-01,1
64078,2024-02-02,Slogans / Code words,Antisemitism,New York,2024,2,2024-02,1
63558,2024-01-30,Slogans / Code words,Antisemitism,California,2024,1,2024-01,1
