incident_id,confidence,is_correct,confidence_bin
69009,0.6785704735120137,0,60-70%
69010,0.6213838739395141,0,50-60%
64972,0.5954599939982096,0,50-60%
69011,0.633318122545878,0,50-60%
69012,0.6685565991401672,0,60-70%
69013,0.5824630502065022,0,50-60%
69014,0.547167535940806,0,40-50%
69015,0.5539325717290242,0,40-50%
69016,0.6205690188407897,0,50-60%
69017,0.6404454949696858,0,50-60%
69018,0.548514569123586,0,40-50%
69019,0.5568253361384073,0,40-50%
69020,0.6503884477615356,0,60-70%
69021,0.6032199544906616,0,50-60%
69022,0.5396786573727925,0,40-50%
69023,0.5501399281819661,0,40-50%
69024,0.6146861556371053,0,50-60%
69025,0.6312177144686381,0,50-60%
69026,0.6446814222335815,0,60-70%
69027,0.6025311592419942,0,50-60%
69028,0.6122954729398091,0,50-60%
69029,0.5725406053860982,0,40-50%
69030,0.6008864008585612,0,50-60%
69031,0.6290061119397481,0,50-60%
69032,0.5945262276331583,0,50-60%
69033,0.6038165334065755,0,50-60%
69034,0.584287520567576,0,50-60%
69035,0.5991385542551676,0,50-60%
69036,0.5930098258654276,0,50-60%
69037,0.577502811272939,0,50-60%
69038,0.6539153420130411,0,60-70%
69039,0.5704493764241536,0,40-50%
69040,0.5308976414998372,0,40-50%
69041,0.5758186820348103,0,50-60%
69042,0.6044165137608846,0,50-60%
69043,0.5977460705439249,0,50-60%
64978,0.590063596089681,0,50-60%
69044,0.5457225683530171,0,40-50%
69045,0.5985912048021952,0,50-60%
69046,0.5730983856519063,0,50-60%
69047,0.6456028186480204,0,60-70%
69048,0.6158738099733988,0,50-60%
69049,0.5823596679369608,0,50-60%
69050,0.4906507674058278,0,30-40%
69051,0.5768713914553324,0,50-60%
69052,0.5695444904963175,0,40-50%
69053,0.6456370317141215,0,60-70%
69054,0.6660031639734904,0,60-70%
69055,0.6426461898485819,0,60-70%
69056,0.5323699358304341,0,40-50%
69057,0.6249111576080322,0,50-60%
69058,0.5401569250424703,0,40-50%
69059,0.6028268896738688,0,50-60%
69060,0.5840558969179789,0,50-60%
69061,0.5925468169848124,0,50-60%
69062,0.5979682170550028,0,50-60%
69063,0.7145830356280009,0,70-80%
69064,0.5419244729677836,0,40-50%
